hardware,6.798750300417696,18
modular,6.711738923428066,6
commons,6.306273815319902,4
eric,5.900808707211738,2
coined,5.900808707211738,2
printer,5.900808707211738,2
foss,5.900808707211738,2
fledgling,5.900808707211738,2
non-profit,5.900808707211738,2
lab,5.900808707211738,2
portal,5.900808707211738,2
design,5.713210093316939,63
bruce,5.613126634759957,2
bug,5.613126634759957,2
repository,5.613126634759957,2
circuits,5.613126634759957,2
modifying,5.613126634759957,2
visually,5.613126634759957,2
needing,5.389983083445747,2
miscellaneous,5.389983083445747,4
cornell,5.389983083445747,2
virtual,5.389983083445747,2
voiced,5.389983083445747,2
architecture,5.294672903641422,4
licensed,5.207661526651792,2
digital,5.207661526651792,2
turbine,5.207661526651792,2
focusing,5.207661526651792,2
users,5.207661526651792,2
unrelated,5.053510846824533,2
innovation,5.053510846824533,2
designs,5.053510846824533,8
source,5.02107557107138,26
open,4.963063040336323,83
19th,4.9199794542000115,2
duplication,4.9199794542000115,2
straightforward,4.9199794542000115,2
manufacturing,4.9199794542000115,6
peer,4.9199794542000115,2
centralized,4.802196418543628,2
resource,4.802196418543628,2
printing,4.802196418543628,4
18th,4.802196418543628,2
monetary,4.802196418543628,2
territories,4.802196418543628,2
larry,4.802196418543628,2
enables,4.802196418543628,2
thesis,4.696835902885802,2
alliance,4.696835902885802,4
organizations,4.680306600934591,12
framework,4.601525723081477,2
cheaper,4.601525723081477,2
subsequently,4.601525723081477,2
currently,4.571672759931795,6
sharing,4.5570739605106425,4
traced,4.514514346091847,2
loosely,4.514514346091847,2
media,4.4344716384183105,2
computer,4.4344716384183105,2
files,4.4344716384183105,2
projects,4.389351203137841,10
designers,4.360363666264589,2
complexity,4.360363666264589,2
publishing,4.360363666264589,2
technology,4.336833168854395,6
network,4.291370794777637,4
emerging,4.291370794777637,2
directions,4.291370794777637,4
ryan,4.291370794777637,2
engineering,4.269391888058862,6
photographs,4.226832273640066,2
farming,4.226832273640066,2
movement,4.226832273640066,16
solar,4.226832273640066,2
compensation,4.166207651823631,2
significantly,4.166207651823631,2
tools,4.166207651823631,4
barriers,4.166207651823631,2
raymond,4.166207651823631,2
aggressive,4.166207651823631,2
developing,4.14678956596653,6
transport,4.109049237983682,2
definition,4.0549820167134065,4
guitar,4.0549820167134065,2
shared,4.003688722325856,4
notable,4.003688722325856,2
alike,4.003688722325856,2
trends,3.954898558156424,2
respects,3.908378542521531,2
suited,3.908378542521531,2
compared,3.8353534075066413,6
functional,3.8213671655319015,2
access,3.8213671655319015,2
via,3.8213671655319015,4
masters,3.8213671655319015,2
tim,3.780545171011646,2
flexible,3.780545171011646,2
applications,3.780545171011646,2
emerged,3.741324457858365,2
overcome,3.741324457858365,2
vehicles,3.7222762628876707,4
create,3.703584129875518,4
consisting,3.703584129875518,2
publicly,3.703584129875518,2
mechanism,3.667216485704643,2
solutions,3.632125165893373,2
creating,3.632125165893373,2
involve,3.565433791394701,2
mature,3.565433791394701,2
project,3.565433791394701,6
identical,3.565433791394701,2
structures,3.565433791394701,2
testing,3.5336850930801207,2
electronics,3.5336850930801207,2
lacking,3.5336850930801207,2
initiative,3.5336850930801207,2
benefits,3.502913434413367,2
potential,3.4878755570488265,4
mechanical,3.4730604712636857,2
appropriate,3.4730604712636857,4
alternative,3.4730604712636857,2
machine,3.463304296318321,6
physical,3.458461671842533,8
performed,3.4440729343904333,2
principles,3.429888299398477,4
printed,3.4159020574237373,2
license,3.4159020574237373,2
skills,3.388503083235623,2
foundation,3.3618348361534616,2
simultaneously,3.3618348361534616,2
code,3.335859349750201,2
goals,3.310541541765911,2
languages,3.310541541765911,2
tool,3.310541541765911,2
involves,3.2858489291755393,2
holds,3.261751377596479,2
increasingly,3.261751377596479,2
external,3.238220880186285,2
sources,3.215231361961586,4
extensive,3.215231361961586,2
creation,3.170779599390752,2
trend,3.170779599390752,2
models,3.1492733941697884,2
movements,3.1492733941697884,2
construction,3.1386912848392514,4
effort,3.1212995421273826,6
creative,3.1076006977692208,2
motors,3.0873979904517013,2
convinced,3.0873979904517013,2
related,3.0675953631555215,4
free,3.0520308466144095,10
widely,3.0481772772984197,2
current,3.0481772772984197,4
advanced,3.0291290823277253,2
established,3.0104369493155727,4
products,3.0104369493155727,4
machines,3.0104369493155727,2
components,2.992087810647376,2
development,2.980039472131202,12
apply,2.974069305144698,2
understood,2.9389779853334277,2
fairly,2.9389779853334277,2
plants,2.9218835519741275,2
machinery,2.9050764336577464,2
commercial,2.888547131706536,2
benefit,2.856286269488314,2
wind,2.856286269488314,2
closely,2.8097662538534216,2
reference,2.794728376488881,2
policies,2.7799132907037403,2
article,2.7799132907037403,2
electronic,2.7799132907037403,2
realized,2.7653144912825876,2
shelter,2.7509257538304883,2
methods,2.7367411188385318,4
knowledge,2.715834434019218,4
individuals,2.708961554731456,2
cost,2.6643112809937173,6
title,2.655615574026163,2
model,2.655615574026163,2
expression,2.6299731434128257,2
reduced,2.6299731434128257,2
mentioned,2.6299731434128257,2
term,2.6299731434128257,2
cells,2.6049718412074085,2
spread,2.5805803880832494,2
proposed,2.5686041970365334,2
concept,2.5567697393895306,2
distribution,2.5567697393895306,2
single,2.5450736996263394,4
otherwise,2.5450736996263394,2
philosophy,2.5450736996263394,2
product,2.5335128772252635,2
develop,2.5107846261477076,2
published,2.5107846261477076,2
corporation,2.499611325549582,2
everyone,2.456126213609843,2
share,2.4144535172092754,2
techniques,2.404301145745257,2
places,2.394250809891756,2
child,2.331276010730367,4
university,2.326592161417941,4
designed,2.3172897687556273,2
standard,2.2989406300874307,2
