,Stem,Score,sType,TF,wTF,wTFref
diogo,diogo,,noref,3,0.0002456600065509335,
direct,direct,0.6009153859613796,raw,6,0.000491320013101867,0.0002693954265427587
directly,directli,0.666118579772142,raw,7,0.0005732066819521781,0.00029445546622115483
disability,disabl,3.445824769780787,raw,4,0.00032754667540124465,1.0441683199331732e-05
disabled,disabl,3.1581426973290063,raw,6,0.000491320013101867,2.0883366398663464e-05
disambiguation,disambigu,2.405690713530154,noref,11,0.0009007533573534229,
disaster,disast,2.020309695507615,raw,5,0.00040943334425155587,5.4296752636525006e-05
discovered,discov,2.3742411535005967,raw,20,0.0016377333770062235,0.0001524485747102433
discovering,discov,2.8216704607077934,raw,3,0.0002456600065509335,1.4618356479064425e-05
discovery,discoveri,2.0595304086608963,raw,9,0.0007369800196528005,9.397514879398559e-05
discussed,discuss,0.5931933398674694,raw,3,0.0002456600065509335,0.00013574188159131252
distance,distanc,0.08544938263888684,raw,3,0.0002456600065509335,0.00022554035710556543
distant,distant,1.8498098776788274,raw,6,0.000491320013101867,7.726845567505482e-05
distinction,distinct,1.0540085430587989,raw,3,0.0002456600065509335,8.56218022345202e-05
dna,dna,,noref,3,0.0002456600065509335,
docudrama,docudrama,,noref,4,0.00032754667540124465,
documentary,documentari,4.362115501654942,raw,8,0.0006550933508024893,8.353346559465386e-06
domestic,domest,0.6244458833715737,raw,3,0.0002456600065509335,0.00013156520831157984
done,done,-0.9976104930217382,raw,3,0.0002456600065509335,0.0006661793881173646
doom,doom,3.668968321094997,raw,3,0.0002456600065509335,6.26500991959904e-06
drama,drama,3.434128730017596,raw,34,0.0027841467409105798,8.97984755142529e-05
dramas,drama,4.516266181482201,raw,14,0.0011464133639043563,1.253001983919808e-05
dramatic,dramat,1.4717437437587775,raw,7,0.0005732066819521781,0.00013156520831157984
drawing,draw,1.3663832281009511,raw,4,0.00032754667540124465,8.353346559465386e-05
driven,driven,0.9833909758448454,raw,3,0.0002456600065509335,9.188681215411925e-05
drugs,drug,2.2826739599751065,raw,7,0.0005732066819521781,5.84734259162577e-05
dubai,dubai,,noref,4,0.00032754667540124465,
due,due,0.792582805173572,raw,8,0.0006550933508024893,0.0002965438028610212
dystopia,dystopia,2.6881390680832706,stem,3,0.0002456600065509335,1.6706693118930773e-05
dystopian,dystopian,4.02564326503373,raw,10,0.0008188666885031117,1.4618356479064425e-05
dystopias,dystopia,2.6881390680832706,raw,3,0.0002456600065509335,1.6706693118930773e-05
earlier,earlier,0.07165606050655095,raw,4,0.00032754667540124465,0.0003048971494204866
early,earli,1.0985394978688345,raw,28,0.0022928267278087126,0.0007643312101910828
earth,earth,0.4500924962267961,raw,6,0.000491320013101867,0.000313250495979952
easier,easier,0.8357549770387808,raw,3,0.0002456600065509335,0.00010650516863318367
east,east,0.06892008068767634,raw,5,0.00040943334425155587,0.0003821656050955414
eastern,eastern,1.9949918875233252,raw,6,0.000491320013101867,6.682677247572309e-05
ecological,ecolog,,noref,5,0.00040943334425155587,
economic,econom,1.0091202218106645,raw,17,0.0013920733704552899,0.0005074658034875222
economy,economi,0.6858148297478659,raw,4,0.00032754667540124465,0.00016497859454944137
ecotourism,ecotour,,noref,5,0.00040943334425155587,
education,educ,0.38243384775298117,raw,8,0.0006550933508024893,0.00044690404093139817
educational,educ,2.128523280147848,raw,15,0.0012283000327546676,0.00014618356479064425
effect,effect,-0.08288593218032778,raw,5,0.00040943334425155587,0.0004448157042915318
effects,effect,1.3847323667691478,raw,11,0.0009007533573534229,0.00022554035710556543
egypt,egypt,2.639348903913839,raw,5,0.00040943334425155587,2.923671295812885e-05
either,either,0.8532074269900071,raw,17,0.0013920733704552899,0.0005930876057220424
electronic,electron,1.2412200851469453,raw,6,0.000491320013101867,0.00014200689151091156
element,element,1.5094840717416245,raw,6,0.000491320013101867,0.00010859350527305001
elements,element,2.430126691118237,raw,31,0.0025384867343596464,0.00022345202046569908
emerged,emerg,2.20263125230157,raw,6,0.000491320013101867,5.4296752636525006e-05
emerging,emerg,2.7526775892208417,raw,6,0.000491320013101867,3.1325049597995194e-05
emirates,emir,,noref,3,0.0002456600065509335,
emotional,emot,0.8357549770387808,raw,4,0.00032754667540124465,0.00014200689151091156
emperor,emperor,1.8231416305966661,raw,3,0.0002456600065509335,3.9678396157460584e-05
emphasis,emphasi,1.4002847797766327,raw,6,0.000491320013101867,0.00012112352511224809
emphasized,emphas,1.8772088518669419,raw,3,0.0002456600065509335,3.759005951759423e-05
emphasizes,emphas,3.9566503935467776,raw,4,0.00032754667540124465,6.26500991959904e-06
empire,empir,1.6765381564047908,raw,3,0.0002456600065509335,4.594340607705962e-05
employs,employ,2.5703560324268873,raw,3,0.0002456600065509335,1.8795029758797117e-05
end,end,0.05314843785056566,raw,11,0.0009007533573534229,0.0008541296857053357
ending,end,1.3335934052779603,raw,3,0.0002456600065509335,6.473843583585675e-05
engaged,engag,0.9174330080530481,raw,3,0.0002456600065509335,9.815182207371828e-05
engineering,engin,0.9389392132740116,raw,3,0.0002456600065509335,9.606348543385193e-05
england,england,0.018310079801258202,raw,4,0.00032754667540124465,0.00032160384253941736
english,english,1.0350260921465086,raw,14,0.0011464133639043563,0.0004072256447739376
enhancing,enhanc,3.1581426973290063,stem,3,0.0002456600065509335,1.0441683199331732e-05
enjoyment,enjoy,1.7230581720396836,raw,3,0.0002456600065509335,4.385506943719327e-05
ensure,ensur,3.198964691849261,raw,5,0.00040943334425155587,1.6706693118930773e-05
entertainment,entertain,2.4988970684447422,raw,9,0.0007369800196528005,6.0561762556124045e-05
entire,entir,0.05131637626942822,raw,4,0.00032754667540124465,0.00031116215934008564
entirely,entir,0.5444031756980374,raw,4,0.00032754667540124465,0.00019003863422783752
environment,environ,1.6995276746294894,raw,6,0.000491320013101867,8.97984755142529e-05
environmental,environment,3.109352533159574,raw,4,0.00032754667540124465,1.4618356479064425e-05
epic,epic,2.388034475632933,raw,5,0.00040943334425155587,3.759005951759423e-05
episode,episod,2.9758211405350514,raw,6,0.000491320013101867,2.506003967839616e-05
equestrian,equestrian,,noref,3,0.0002456600065509335,
equipment,equip,-0.06273113020186763,raw,4,0.00032754667540124465,0.00034875221885767983
era,era,1.877208851866942,raw,5,0.00040943334425155587,6.265009919599039e-05
especially,especi,0.8839570788566586,raw,10,0.0008188666885031117,0.0003383105356583481
essential,essenti,0.37313145509066786,raw,3,0.0002456600065509335,0.00016915526782917406
established,establish,1.1840616713069965,raw,9,0.0007369800196528005,0.00022554035710556543
estimated,estim,0.5628879903721404,raw,3,0.0002456600065509335,0.0001399185548710452
etymology,etymolog,,noref,6,0.000491320013101867,
euromonitor,euromonitor,,noref,3,0.0002456600065509335,
europe,europ,2.481802635085442,raw,36,0.002947920078611202,0.00024642372350422887
european,european,3.084454981537847,raw,34,0.0027841467409105798,0.00012738853503184712
even,even,-0.5625773626405888,raw,17,0.0013920733704552899,0.0024433538686436254
event,event,1.066278635650613,raw,6,0.000491320013101867,0.00016915526782917406
events,event,2.5802083288698987,raw,34,0.0027841467409105798,0.000210922000626501
eventual,eventu,2.369685336964736,raw,3,0.0002456600065509335,2.297170303852981e-05
ever,ever,-1.073061047610292,raw,3,0.0002456600065509335,0.0007183878041140232
everybody,everybodi,0.49091449074705135,raw,3,0.0002456600065509335,0.00015036023807037693
everyday,everyday,2.282673959975106,raw,3,0.0002456600065509335,2.506003967839616e-05
evidence,evid,0.14260779647883545,raw,6,0.000491320013101867,0.00042602067453273467
evil,evil,0.7785965631988321,raw,4,0.00032754667540124465,0.00015036023807037693
evolved,evolv,2.6881390680832706,raw,3,0.0002456600065509335,1.6706693118930773e-05
example,exampl,1.083256972185031,raw,22,0.0018015067147068458,0.0006097942988409732
examples,exampl,2.8341706234720245,raw,23,0.0018833933835571569,0.00011068184191291636
except,except,-0.43091642150271925,raw,3,0.0002456600065509335,0.0003779889318158087
excitement,excit,1.5895267794151609,raw,4,0.00032754667540124465,6.682677247572309e-05
excursion,excurs,,noref,4,0.00032754667540124465,
excursions,excurs,,noref,5,0.00040943334425155587,
exercise,exercis,1.217963222982678,raw,5,0.00040943334425155587,0.00012112352511224809
exist,exist,0.9777252383091681,raw,4,0.00032754667540124465,0.00012321186175211443
existence,exist,0.38243384775298117,raw,4,0.00032754667540124465,0.00022345202046569908
existing,exist,0.673236047541006,raw,3,0.0002456600065509335,0.00012530019839198078
exotic,exot,2.8216704607077934,raw,3,0.0002456600065509335,1.4618356479064425e-05
expansion,expans,1.205115080504829,raw,4,0.00032754667540124465,9.815182207371828e-05
expedition,expedit,2.5703560324268873,raw,5,0.00040943334425155587,3.1325049597995194e-05
expeditions,expedit,3.668968321094997,raw,6,0.000491320013101867,1.253001983919808e-05
expenditure,expenditur,2.657367409416517,raw,4,0.00032754667540124465,2.297170303852981e-05
experience,experi,-0.3419946321880527,raw,5,0.00040943334425155587,0.0005763809126031116
experiences,experi,1.778117949222711,raw,8,0.0006550933508024893,0.00011068184191291636
experiential,experienti,3.668968321094997,raw,4,0.00032754667540124465,8.353346559465386e-06
explicit,explicit,1.5895267794151609,raw,3,0.0002456600065509335,5.012007935679232e-05
exploits,exploit,3.381286248643216,raw,3,0.0002456600065509335,8.353346559465386e-06
exploration,explor,3.9466000576932765,raw,33,0.0027022600720602685,5.220841599665866e-05
explorations,explor,3.3122933771562644,stem,7,0.0005732066819521781,2.0883366398663467e-05
explore,explor,3.381286248643216,raw,9,0.0007369800196528005,2.506003967839616e-05
explored,explor,4.215512027463067,raw,19,0.0015558467081559122,2.297170303852981e-05
explorer,explor,4.228584109030419,raw,7,0.0005732066819521781,8.353346559465386e-06
explorers,explor,5.661398485785203,raw,22,0.0018015067147068458,6.26500991959904e-06
exploring,explor,3.1581426973290063,raw,3,0.0002456600065509335,1.0441683199331732e-05
extended,extend,0.7602474245306355,raw,3,0.0002456600065509335,0.00011485851519264906
extent,extent,0.35478231642247116,raw,4,0.00032754667540124465,0.00022971703038529812
external,extern,1.006380494069544,raw,3,0.0002456600065509335,8.97984755142529e-05
extreme,extrem,1.6212754777297411,raw,8,0.0006550933508024893,0.0001294768716717135
eye,eye,0.25124163748163103,raw,4,0.00032754667540124465,0.00025477707006369424
facilitated,facilit,3.1581426973290063,stem,3,0.0002456600065509335,1.0441683199331732e-05
fact,fact,-1.3349779848504622,raw,3,0.0002456600065509335,0.0009334864780202568
factual,factual,2.8216704607077934,raw,3,0.0002456600065509335,1.4618356479064425e-05
fair,fair,1.5094840717416245,raw,9,0.0007369800196528005,0.00016289025790957502
fairy,fairi,3.381286248643216,raw,3,0.0002456600065509335,8.353346559465386e-06
fall,fall,0.06483009543615097,raw,4,0.00032754667540124465,0.00030698548606035295
fallen,fallen,1.528902157598726,raw,4,0.00032754667540124465,7.100344575545578e-05
falls,fall,1.5895267794151609,raw,4,0.00032754667540124465,6.682677247572309e-05
families,famili,0.8357549770387808,raw,4,0.00032754667540124465,0.00014200689151091156
family,famili,-0.7468556931621755,raw,4,0.00032754667540124465,0.0006912394277957607
famous,famou,0.7897698637969575,raw,5,0.00040943334425155587,0.00018586196094810484
fan,fan,1.8772088518669419,raw,3,0.0002456600065509335,3.759005951759423e-05
fans,fan,2.0107402444914646,raw,4,0.00032754667540124465,4.385506943719327e-05
fantastic,fantast,2.7526775892208417,raw,8,0.0006550933508024893,4.176673279732693e-05
fantastical,fantast,1.7718483362091155,stem,3,0.0002456600065509335,4.176673279732693e-05
fantasy,fantasi,5.0903540020261575,raw,58,0.004749426793318048,2.923671295812885e-05
far,far,-0.1882464478381543,raw,9,0.0007369800196528005,0.0008896314085830636
fashion,fashion,0.8211561776176282,raw,4,0.00032754667540124465,0.0001440952281507779
fast,fast,0.41087178307351474,raw,3,0.0002456600065509335,0.00016289025790957502
fear,fear,0.21107559575629603,raw,4,0.00032754667540124465,0.000265218753263026
feature,featur,2.542957058238773,raw,12,0.000982640026203734,7.726845567505482e-05
features,featur,1.8518910438826521,raw,13,0.0010645266950540452,0.0001670669311893077
featuring,featur,4.228584109030419,raw,7,0.0005732066819521781,8.353346559465386e-06
feel,feel,-0.09687217415506777,raw,5,0.00040943334425155587,0.00045108071421113085
feeling,feel,-0.09223179459856565,raw,4,0.00032754667540124465,0.0003591939020570116
female,femal,1.5487047848949058,raw,6,0.000491320013101867,0.00010441683199331732
feminist,feminist,,noref,4,0.00032754667540124465,
fiction,fiction,4.8239335463142385,raw,146,0.011955453652145431,9.606348543385193e-05
fictional,fiction,3.3012435409696796,raw,9,0.0007369800196528005,2.7148376318262503e-05
fictitious,fictiti,,noref,3,0.0002456600065509335,
field,field,-0.5578654241731829,raw,4,0.00032754667540124465,0.0005722042393233789
fifa,fifa,,noref,3,0.0002456600065509335,
fight,fight,0.6934387548585255,raw,5,0.00040943334425155587,0.00020465699070690196
fighting,fight,0.7785965631988321,raw,4,0.00032754667540124465,0.00015036023807037693
figure,figur,-0.06392801843571361,raw,5,0.00040943334425155587,0.0004364623577320664
figures,figur,0.32787486350254685,raw,4,0.00032754667540124465,0.00023598204030489715
film,film,2.362716667648643,raw,26,0.0021290533901080905,0.00020048031742716927
films,film,3.5308179826141797,raw,27,0.0022109400589584017,6.473843583585675e-05
final,final,0.5650224629007732,raw,7,0.0005732066819521781,0.00032578051581915005
find,find,-0.5307367567849302,raw,6,0.000491320013101867,0.0008353346559465386
fit,fit,0.7377745686785768,raw,4,0.00032754667540124465,0.000156625247989976
fitness,fit,2.9758211405350514,raw,4,0.00032754667540124465,1.6706693118930773e-05
five,five,-0.8884112010567461,raw,3,0.0002456600065509335,0.000597264279001775
flow,flow,0.5480729045869999,raw,3,0.0002456600065509335,0.00014200689151091156
focus,focu,2.2826739599751065,raw,10,0.0008188666885031117,8.353346559465386e-05
focused,focus,2.5703560324268873,raw,4,0.00032754667540124465,2.506003967839616e-05
focuses,focus,3.9566503935467776,stem,12,0.000982640026203734,1.879502975879712e-05
focusing,focus,3.823119000922255,raw,7,0.0005732066819521781,1.253001983919808e-05
folk,folk,1.9343672657068904,raw,6,0.000491320013101867,7.100344575545578e-05
folklore,folklor,1.9462017233538935,raw,5,0.00040943334425155587,5.84734259162577e-05
followed,follow,0.4673839933368571,raw,7,0.0005732066819521781,0.0003591939020570116
following,follow,0.9098629491925025,raw,14,0.0011464133639043563,0.0004615223974104626
follows,follow,0.4237751879094226,raw,3,0.0002456600065509335,0.00016080192126970868
food,food,0.4702952035443154,raw,6,0.000491320013101867,0.00030698548606035295
football,footbal,2.918662726695103,raw,17,0.0013920733704552899,7.518011903518847e-05
force,forc,-0.6704986991600888,raw,3,0.0002456600065509335,0.00048031742716925967
forces,forc,0.5836238888513187,raw,8,0.0006550933508024893,0.00036545891197661064
foreign,foreign,-0.007332350812079377,raw,4,0.00032754667540124465,0.00032995718909888274
form,form,1.013561853478209,raw,26,0.0021290533901080905,0.0007726845567505482
format,format,2.5703560324268873,raw,3,0.0002456600065509335,1.8795029758797117e-05
formats,format,1.8959009848790944,stem,3,0.0002456600065509335,3.6893947304305454e-05
formed,form,0.43684726947677543,raw,3,0.0002456600065509335,0.00015871358462984234
forms,form,1.6579945786926216,raw,17,0.0013920733704552899,0.000265218753263026
found,found,-0.41794126263958586,raw,9,0.0007369800196528005,0.0011193484389683617
founded,found,2.0595304086608963,raw,4,0.00032754667540124465,4.176673279732693e-05
four,four,-0.8308413492352683,raw,4,0.00032754667540124465,0.0007518011903518847
frame,frame,0.46351551655893675,raw,3,0.0002456600065509335,0.00015453691135010965
france,franc,1.9905375371739449,raw,14,0.0011464133639043563,0.000156625247989976
francisco,francisco,1.0540085430587989,raw,3,0.0002456600065509335,8.56218022345202e-05
french,french,0.5262538571923601,raw,6,0.000491320013101867,0.00029027879294142215
frequent,frequent,1.2412200851469453,raw,3,0.0002456600065509335,7.100344575545578e-05
frequently,frequent,0.9498682838062018,raw,6,0.000491320013101867,0.00019003863422783752
frontier,frontier,1.3663832281009511,raw,3,0.0002456600065509335,6.265009919599039e-05
full,full,0.17679916122711473,raw,7,0.0005732066819521781,0.00048031742716925967
fun,fun,1.494216599610836,raw,5,0.00040943334425155587,9.188681215411925e-05
funk,funk,3.381286248643216,raw,3,0.0002456600065509335,8.353346559465386e-06
future,futur,0.6419135764119649,raw,11,0.0009007533573534229,0.00047405241724966064
futuristic,futurist,,noref,6,0.000491320013101867,
gaa,gaa,,noref,3,0.0002456600065509335,
gaelic,gaelic,,noref,5,0.00040943334425155587,
gain,gain,0.46351551655893675,raw,3,0.0002456600065509335,0.00015453691135010965
gained,gain,1.614844587399451,raw,5,0.00040943334425155587,8.144512895478751e-05
gains,gain,1.8231416305966661,raw,3,0.0002456600065509335,3.9678396157460584e-05
gama,gama,,noref,3,0.0002456600065509335,
gambling,gambl,1.9343672657068904,raw,3,0.0002456600065509335,3.550172287772789e-05
game,game,2.6854253622116744,raw,46,0.0037667867671143137,0.0002568654067035606
games,game,3.4228352515560885,raw,43,0.0035211267605633804,0.00011485851519264906
gaming,game,0.2789442400309667,stem,3,0.0002456600065509335,0.00018586196094810484
gangster,gangster,3.381286248643216,stem,3,0.0002456600065509335,8.353346559465386e-06
garca,garca,,noref,3,0.0002456600065509335,
gender,gender,2.420069889978725,noref,12,0.000982640026203734,
general,gener,-0.23904666293561028,raw,10,0.0008188666885031117,0.0010399916466534405
generally,gener,1.9642202288565715,raw,24,0.001965280052407468,0.00027566043646235774
generic,gener,0.9341199268380627,stem,3,0.0002456600065509335,9.652756024271113e-05
genre,genr,2.747442822705744,noref,87,0.0071241401899770716,
genres,genr,2.645684530519838,noref,47,0.003848673435964625,
george,georg,0.19545027785321534,raw,4,0.00032754667540124465,0.0002693954265427587
georgia,georgia,0.9389392132740116,raw,3,0.0002456600065509335,9.606348543385193e-05
germany,germani,1.7594258162105585,raw,12,0.000982640026203734,0.00016915526782917406
giant,giant,1.632086393833957,raw,3,0.0002456600065509335,4.803174271692597e-05
girl,girl,0.22125092379794856,raw,7,0.0005732066819521781,0.00045943406077059623
give,give,-1.1959987338553397,raw,3,0.0002456600065509335,0.0008123629529080088
given,given,0.22162978343498643,raw,12,0.000982640026203734,0.0007873029132296126
global,global,4.921731289590364,raw,14,0.0011464133639043563,8.353346559465386e-06
go,go,-0.9786225807770466,raw,6,0.000491320013101867,0.0013072987365563328
goal,goal,1.1840616713069967,raw,5,0.00040943334425155587,0.00012530019839198078
goes,goe,0.2789442400309667,raw,3,0.0002456600065509335,0.00018586196094810484
gold,gold,0.8163368911816793,raw,3,0.0002456600065509335,0.00010859350527305001
good,good,-1.2313559521835764,raw,6,0.000491320013101867,0.0016831993317322751
goods,good,1.0122114143803373,raw,4,0.00032754667540124465,0.00011903518847238175
governing,govern,2.0107402444914646,raw,4,0.00032754667540124465,4.385506943719327e-05
government,govern,-0.7570751989956589,raw,5,0.00040943334425155587,0.0008729247154641328
grand,grand,2.5703560324268873,raw,16,0.0013101867016049786,0.00010024015871358464
great,great,-0.5282336265668116,raw,10,0.0008188666885031117,0.0013887438655111205
greece,greec,2.505817511289316,raw,5,0.00040943334425155587,3.3413386237861545e-05
greek,greek,0.9443888180415764,raw,4,0.00032754667540124465,0.00012738853503184712
group,group,-0.09995384069247594,raw,9,0.0007369800196528005,0.0008144512895478751
groups,group,1.1432396767867414,raw,10,0.0008188666885031117,0.00026104207998329333
growing,grow,0.9327472430260904,raw,7,0.0005732066819521781,0.00022554035710556543
growth,growth,1.190492561637287,raw,13,0.0010645266950540452,0.0003236921791792837
guests,guest,1.1512718484840057,raw,5,0.00040943334425155587,0.0001294768716717135
guide,guid,1.4717437437587775,raw,4,0.00032754667540124465,7.518011903518847e-05
guinea,guinea,3.668968321094997,raw,3,0.0002456600065509335,6.26500991959904e-06
gun,gun,-0.003104014702558198,raw,3,0.0002456600065509335,0.00024642372350422887
gymnastics,gymnast,2.369685336964736,raw,3,0.0002456600065509335,2.297170303852981e-05
half,half,0.3547823164224713,raw,10,0.0008188666885031117,0.0005742925759632453
hamburg,hamburg,3.158142697329006,stem,3,0.0002456600065509335,1.0441683199331734e-05
han,han,2.858038104878668,raw,4,0.00032754667540124465,1.8795029758797117e-05
happen,happen,0.9121279558233547,raw,4,0.00032754667540124465,0.00013156520831157984
hard,hard,0.152460092921847,raw,6,0.000491320013101867,0.000421844001253002
hardcore,hardcor,,noref,3,0.0002456600065509335,
harmful,harm,3.381286248643216,raw,3,0.0002456600065509335,8.353346559465386e-06
held,held,-0.29754286961721876,raw,5,0.00040943334425155587,0.0005513208729247155
help,help,0.637225610017973,raw,15,0.0012283000327546676,0.0006494726949984337
hemisphere,hemispher,2.128523280147848,raw,3,0.0002456600065509335,2.923671295812885e-05
hence,henc,0.7071375992166873,raw,3,0.0002456600065509335,0.00012112352511224809
henry,henri,0.3487400019665087,raw,3,0.0002456600065509335,0.00017333194110890674
heritage,heritag,1.7230581720396836,raw,3,0.0002456600065509335,4.385506943719327e-05
hero,hero,2.11561987531194,raw,11,0.0009007533573534229,0.00010859350527305001
heroes,hero,2.445192889472881,raw,5,0.00040943334425155587,3.550172287772789e-05
heroic,heroic,2.4162053525996288,raw,6,0.000491320013101867,4.385506943719327e-05
high,high,-0.14172643220326123,raw,11,0.0009007533573534229,0.0010379033100135742
highly,highli,0.22428582749310275,raw,3,0.0002456600065509335,0.00019630364414743656
hip,hip,2.7526775892208417,raw,4,0.00032754667540124465,2.0883366398663464e-05
historical,histor,2.8402756485388276,raw,31,0.0025384867343596464,0.0001482719014305106
history,histori,1.2710730482966266,raw,26,0.0021290533901080905,0.000597264279001775
holiday,holiday,2.2220493381586714,raw,4,0.00032754667540124465,3.550172287772789e-05
holidays,holiday,2.5703560324268873,raw,4,0.00032754667540124465,2.506003967839616e-05
home,home,-1.2491861202070937,raw,4,0.00032754667540124465,0.0011423201420068915
hong,hong,3.0628325175246816,raw,6,0.000491320013101867,2.297170303852981e-05
hop,hop,3.5511852854386134,stem,4,0.00032754667540124465,9.397514879398558e-06
hope,hope,-0.12088705035894176,raw,4,0.00032754667540124465,0.00036963558525634333
horror,horror,4.13159184304311,raw,27,0.0022109400589584017,3.550172287772789e-05
hospital,hospit,0.35478231642247116,raw,4,0.00032754667540124465,0.00022971703038529812
host,host,2.388034475632933,raw,10,0.0008188666885031117,7.518011903518847e-05
hotel,hotel,0.9121279558233547,raw,8,0.0006550933508024893,0.0002631304166231597
hotels,hotel,2.7526775892208417,raw,8,0.0006550933508024893,4.176673279732693e-05
hours,hour,-0.1037926169996416,raw,4,0.00032754667540124465,0.0003633705753367443
house,hous,-1.1034097838770007,raw,5,0.00040943334425155587,0.0012342069541610107
however,howev,0.2457920327140663,raw,18,0.001473960039305601,0.0011527618252062232
human,human,0.9642570212583015,raw,20,0.0016377333770062235,0.0006244126553200376
humanity,human,1.4353760995879026,raw,3,0.0002456600065509335,5.84734259162577e-05
humans,human,3.774328836752823,raw,10,0.0008188666885031117,1.8795029758797117e-05
humorous,humor,2.9758211405350514,raw,8,0.0006550933508024893,3.3413386237861545e-05
hundreds,hundr,0.9833909758448454,raw,3,0.0002456600065509335,9.188681215411925e-05
iceland,iceland,4.228584109030419,raw,7,0.0005732066819521781,8.353346559465386e-06
icelandic,iceland,3.381286248643216,stem,3,0.0002456600065509335,8.353346559465386e-06
identified,identifi,1.2266212857257925,raw,4,0.00032754667540124465,9.606348543385193e-05
identity,ident,1.0479294969824164,raw,4,0.00032754667540124465,0.00011485851519264906
image,imag,0.27613918910335816,raw,4,0.00032754667540124465,0.0002485120601440952
impact,impact,1.7668607946980766,raw,10,0.0008188666885031117,0.0001399185548710452
impacts,impact,3.668968321094997,raw,3,0.0002456600065509335,6.26500991959904e-06
implications,implic,1.9642202288565715,raw,4,0.00032754667540124465,4.594340607705962e-05
implies,impli,2.282673959975106,raw,4,0.00032754667540124465,3.3413386237861545e-05
importance,import,0.3731314550906677,raw,4,0.00032754667540124465,0.00022554035710556543
important,import,0.1560669498528402,raw,11,0.0009007533573534229,0.0007705962201106819
improve,improv,2.20263125230157,raw,9,0.0007369800196528005,8.144512895478751e-05
include,includ,2.7257701363009175,raw,44,0.0036030134294136916,0.00023598204030489715
included,includ,1.0401674916469272,raw,7,0.0005732066819521781,0.00020256865406703562
includes,includ,3.1204023693461593,raw,26,0.0021290533901080905,9.397514879398559e-05
including,includ,2.1648909243187227,raw,38,0.0031116934163118244,0.00035710556541714526
income,incom,0.36391479998574366,raw,4,0.00032754667540124465,0.00022762869374543177
increase,increas,1.0350260921465086,raw,14,0.0011464133639043563,0.0004072256447739376
increased,increas,0.47712116861471526,raw,6,0.000491320013101867,0.0003048971494204866
increasing,increas,0.9743411403249275,raw,5,0.00040943334425155587,0.00015453691135010965
increasingly,increasingli,1.8772088518669419,raw,7,0.0005732066819521781,8.771013887438654e-05
index,index,0.37313145509066786,raw,3,0.0002456600065509335,0.00016915526782917406
india,india,1.9111104035426234,raw,10,0.0008188666885031117,0.00012112352511224809
indian,indian,1.9149491798497889,raw,9,0.0007369800196528005,0.00010859350527305001
individual,individu,-0.015735761608458826,raw,6,0.000491320013101867,0.0004991124569280568
individuals,individu,1.4579504216264416,raw,8,0.0006550933508024893,0.0001524485747102433
industrial,industri,0.3155616032691901,raw,5,0.00040943334425155587,0.0002986321395008875
industry,industri,0.8298898575863827,raw,10,0.0008188666885031117,0.00035710556541714526
influence,influenc,0.7320765475639393,raw,7,0.0005732066819521781,0.00027566043646235774
influenced,influenc,2.8422897479105287,raw,7,0.0005732066819521781,3.3413386237861545e-05
infomercials,infomerci,,noref,6,0.000491320013101867,
information,inform,0.27148151882937704,raw,9,0.0007369800196528005,0.0005617625561240473
initially,initi,2.1648909243187227,raw,4,0.00032754667540124465,3.759005951759423e-05
instance,instanc,1.6601443466291144,raw,11,0.0009007533573534229,0.0001712436044690404
instead,instead,-0.38571098473467247,raw,3,0.0002456600065509335,0.00036128223869687795
instructional,instruct,3.668968321094997,raw,3,0.0002456600065509335,6.26500991959904e-06
instruments,instrument,2.490313324753351,raw,8,0.0006550933508024893,5.4296752636525006e-05
insurance,insur,0.9389392132740116,raw,3,0.0002456600065509335,9.606348543385193e-05
intended,intend,1.4717437437587777,raw,5,0.00040943334425155587,9.397514879398559e-05
intense,intens,1.0787011556491704,raw,3,0.0002456600065509335,8.353346559465386e-05
intent,intent,2.639348903913839,raw,5,0.00040943334425155587,2.923671295812885e-05
interactions,interact,3.9566503935467776,raw,4,0.00032754667540124465,6.26500991959904e-06
interest,interest,0.06710024397069027,raw,9,0.0007369800196528005,0.0006891510911558943
internal,intern,0.9281282971697958,raw,4,0.00032754667540124465,0.0001294768716717135
international,intern,2.6508948949108992,raw,56,0.004585653455617425,0.0003236921791792837
internet,internet,,noref,6,0.000491320013101867,
interpersonal,interperson,3.668968321094997,raw,3,0.0002456600065509335,6.26500991959904e-06
introduced,introduc,0.8163368911816793,raw,3,0.0002456600065509335,0.00010859350527305001
introduction,introduct,1.10401896363346,raw,3,0.0002456600065509335,8.144512895478751e-05
investigation,investig,0.8357549770387808,raw,3,0.0002456600065509335,0.00010650516863318367
investigator,investig,3.381286248643216,raw,3,0.0002456600065509335,8.353346559465386e-06
involve,involv,1.6212754777297411,raw,4,0.00032754667540124465,6.473843583585675e-05
involved,involv,0.28797364675036097,raw,5,0.00040943334425155587,0.00030698548606035295
involvement,involv,2.20263125230157,raw,3,0.0002456600065509335,2.7148376318262503e-05
involves,involv,2.034837796070525,raw,8,0.0006550933508024893,8.56218022345202e-05
involving,involv,1.9642202288565715,raw,6,0.000491320013101867,6.891510911558943e-05
ioc,ioc,,noref,3,0.0002456600065509335,
irony,ironi,2.5703560324268873,raw,4,0.00032754667540124465,2.506003967839616e-05
island,island,-0.06273113020186763,raw,4,0.00032754667540124465,0.00034875221885767983
islands,island,2.8327202968943785,raw,13,0.0010645266950540452,6.265009919599039e-05
